Index,Category
0,9
1,2
2,7
3,6
4,7
5,6
6,2
7,9
8,9
9,2
10,9
11,2
12,9
13,2
14,5
15,0
16,9
17,5
18,5
19,0
20,1
21,5
22,5
23,9
24,2
25,9
26,0
27,5
28,5
29,9
30,5
31,9
32,9
33,6
34,5
35,0
36,5
37,0
38,5
39,9
40,8
41,5
42,5
43,4
44,9
45,2
46,2
47,9
48,8
49,5
50,4
51,1
52,4
53,1
54,2
55,9
56,2
57,9
58,0
59,5
60,7
61,6
62,6
63,7
64,0
65,5
66,2
67,9
68,8
69,7
70,9
71,5
72,2
73,5
74,7
75,6
76,5
77,0
78,0
79,5
80,4
81,8
82,6
83,7
84,9
85,4
86,7
87,6
88,6
89,7
90,9
91,2
92,1
93,2
94,0
95,5
96,4
97,5
98,5
99,0
100,9
101,4
102,5
103,9
104,6
105,4
106,0
107,5
108,5
109,0
110,1
111,5
112,9
113,2
114,9
115,2
116,9
117,2
118,1
119,4
120,2
121,9
122,4
123,5
124,5
125,8
126,6
127,7
128,9
129,5
130,0
131,5
132,6
133,7
134,6
135,7
136,5
137,9
138,0
139,5
140,9
141,5
142,5
143,8
144,5
145,9
146,0
147,5
148,4
149,1
150,6
151,7
152,9
153,5
154,0
155,5
156,9
157,5
158,4
159,1
160,6
161,0
162,9
163,2
164,5
165,1
166,2
167,9
168,9
169,5
170,0
171,5
172,2
173,9
174,8
175,4
176,4
177,6
178,9
179,5
180,1
181,4
182,5
183,9
184,5
185,0
186,8
187,5
188,0
189,5
190,1
191,4
192,9
193,5
194,5
195,9
196,9
197,5
198,9
199,5
200,4
201,1
202,1
203,4
204,1
205,4
206,1
207,4
208,2
209,7
210,1
211,4
212,4
213,1
214,9
215,5
216,9
217,2
218,5
219,0
220,6
221,7
222,9
223,2
224,9
225,4
226,4
227,1
228,1
229,4
230,9
231,2
232,7
233,6
234,4
235,1
236,4
237,1
238,1
239,2
240,6
241,7
242,1
243,4
244,5
245,9
246,6
247,7
248,1
249,4
250,1
251,4
252,1
253,2
254,4
255,8
256,4
257,1
258,5
259,9
260,7
261,1
262,9
263,2
264,1
265,4
266,6
267,9
268,2
269,1
270,9
271,5
272,9
273,5
274,7
275,6
276,6
277,7
278,5
279,0
280,2
281,9
282,5
283,9
284,1
285,5
286,9
287,5
288,1
289,4
290,6
291,0
292,5
293,9
294,4
295,1
296,5
297,9
298,1
299,4
300,0
301,5
302,9
303,2
304,2
305,9
306,9
307,2
308,4
309,1
310,2
311,1
312,1
313,4
314,7
315,1
316,5
317,4
318,4
319,1
320,2
321,9
322,9
323,5
324,6
325,7
326,9
327,2
328,5
329,0
330,2
331,9
332,1
333,4
334,9
335,5
336,5
337,0
338,4
339,1
340,1
341,4
342,5
343,0
344,2
345,7
346,8
347,4
348,5
349,1
350,9
351,5
352,5
353,0
354,1
355,2
356,5
357,8
358,2
359,9
360,1
361,2
362,0
363,5
364,6
365,7
366,5
367,9
368,9
369,2
370,0
371,5
372,6
373,7
374,9
375,5
376,5
377,8
378,1
379,2
380,1
381,4
382,2
383,9
384,8
385,6
386,6
387,5
388,5
389,9
390,9
391,2
392,4
393,8
394,2
395,9
396,5
397,4
398,2
399,9
400,6
401,7
402,2
403,1
