Index,Category
0,0
1,2
2,3
3,8
4,9
5,2
6,9
7,3
8,3
9,2
10,9
11,9
12,7
13,2
14,5
15,0
16,0
17,3
18,1
19,2
20,1
21,6
22,7
23,8
24,0
25,1
26,8
27,3
28,7
29,0
30,0
31,8
32,1
33,0
34,6
35,7
36,2
37,7
38,2
39,8
40,1
41,2
42,3
43,7
44,1
45,2
46,0
47,7
48,0
49,3
50,0
51,7
52,4
53,5
54,5
55,9
56,0
57,8
58,0
59,6
60,7
61,0
62,1
63,7
64,0
65,3
66,4
67,7
68,3
69,0
70,7
71,8
72,0
73,3
74,7
75,8
76,9
77,0
78,2
79,7
80,9
81,0
82,6
83,7
84,9
85,5
86,3
87,6
88,6
89,2
90,9
91,2
92,9
93,3
94,0
95,6
96,6
97,9
98,3
99,0
100,9
101,0
102,6
103,0
104,7
105,8
106,0
107,6
108,9
109,2
110,0
111,8
112,0
113,6
114,9
115,0
116,7
117,2
118,3
119,2
120,0
121,9
122,8
123,0
124,5
125,2
126,3
127,7
128,9
129,3
130,0
131,3
132,0
133,7
134,2
135,9
136,6
137,0
138,0
139,6
140,8
141,3
142,5
143,8
144,2
145,8
146,0
147,7
148,4
149,0
150,9
151,1
152,8
153,2
154,9
155,2
156,6
157,8
158,7
159,8
160,2
161,9
162,0
163,2
164,4
165,9
166,6
167,9
168,9
169,4
170,0
171,9
172,3
173,7
174,8
175,0
176,6
177,3
178,9
179,3
180,3
181,7
182,7
183,0
184,2
185,8
186,9
187,3
188,8
189,0
190,0
191,8
192,8
193,7
194,4
195,9
196,9
197,3
198,0
199,6
200,1
201,1
202,1
203,9
204,1
205,6
206,1
207,9
208,1
209,9
210,1
211,7
212,3
213,1
214,9
215,1
216,1
217,1
218,3
219,1
220,1
221,0
222,9
223,1
224,1
225,1
226,5
227,1
228,1
229,3
230,7
231,1
232,1
233,1
234,9
235,8
236,4
237,5
238,1
239,1
240,1
241,1
242,1
243,3
244,6
245,8
246,1
247,1
248,1
249,1
250,1
251,9
252,9
253,1
254,9
255,1
256,4
257,1
258,1
259,9
260,1
261,1
262,1
263,1
264,1
265,6
266,1
267,9
268,1
269,3
270,1
271,3
272,1
273,1
274,9
275,1
276,0
277,9
278,3
279,8
280,1
281,1
282,7
283,1
284,6
285,1
286,9
287,7
288,1
289,4
290,6
291,1
292,8
293,9
294,6
295,1
296,3
297,9
298,1
299,3
300,1
301,3
302,1
303,9
304,4
305,7
306,9
307,1
308,6
309,9
310,1
311,3
312,1
313,5
314,8
315,9
316,9
317,7
318,6
319,1
320,6
321,1
322,1
323,1
324,1
325,7
326,1
327,1
328,3
329,1
330,2
331,1
332,1
333,9
334,1
335,1
336,9
337,8
338,3
339,1
340,1
341,9
342,6
343,1
344,6
345,9
346,1
347,4
348,5
349,7
350,6
351,5
352,9
353,0
354,0
355,5
356,3
357,1
358,8
359,1
360,1
361,9
362,8
363,3
364,1
365,0
366,7
367,9
368,9
369,9
370,1
371,1
372,1
373,9
374,1
375,5
376,6
377,3
378,1
379,4
380,2
381,9
382,3
383,1
384,8
385,1
386,9
387,1
388,8
389,1
390,1
391,9
392,9
393,8
394,2
395,1
396,1
397,9
398,1
399,9
400,2
401,4
402,4
403,1
404,7
405,7
406,7
407,0
408,7
409,2
410,7
411,3
412,3
413,9
414,2
415,2
416,2
417,5
418,0
419,5
420,4
421,9
422,5
423,8
424,7
425,5
426,3
427,2
428,5
429,6
430,3
431,2
432,4
433,0
434,6
435,3
436,4
437,3
438,3
439,2
440,9
441,7
442,3
443,7
444,2
445,1
446,2
447,3
448,4
449,3
450,2
451,1
452,7
453,7
454,3
455,7
456,7
457,5
458,2
459,3
460,2
461,9
462,9
463,2
464,5
465,0
466,2
467,7
468,9
469,5
470,1
471,7
472,8
473,2
474,2
475,9
476,2
477,3
478,3
479,7
480,2
481,8
482,5
483,8
484,4
485,9
486,2
487,4
488,2
489,3
490,5
491,9
492,5
493,4
494,8
495,3
496,9
497,2
498,6
499,3
500,3
501,2
502,2
503,6
504,5
505,2
506,2
507,9
508,9
509,2
510,2
511,3
512,7
513,1
514,5
515,9
516,6
517,2
518,6
519,0
520,0
521,7
522,7
523,2
524,1
525,3
526,2
527,7
528,5
529,2
530,2
531,0
532,7
533,8
534,5
535,2
536,7
537,7
538,6
539,2
540,3
541,4
542,3
543,2
544,5
545,6
546,4
547,2
548,2
549,5
550,4
551,2
552,9
553,2
554,9
555,1
556,4
557,7
558,9
559,6
560,2
561,3
562,2
563,3
564,2
565,8
566,6
567,1
568,2
569,2
570,7
571,4
572,2
573,3
574,4
575,0
576,3
577,9
578,1
579,2
580,4
581,0
582,3
583,2
584,9
585,0
586,7
587,2
588,2
589,3
590,4
591,2
592,7
593,3
594,6
595,8
596,2
597,9
598,9
599,4
600,5
601,6
602,5
603,9
604,3
605,7
606,3
607,7
608,3
609,3
610,4
611,8
612,0
613,3
614,6
615,3
616,3
617,1
618,0
619,7
620,3
621,7
622,9
623,3
624,3
625,7
626,2
627,3
628,3
629,3
630,1
631,3
632,3
633,3
634,2
635,7
636,8
637,3
638,8
639,6
640,3
641,7
642,2
643,5
644,2
645,1
646,2
647,9
648,8
649,3
650,2
651,6
652,3
653,3
654,3
655,8
656,2
657,3
658,5
659,0
660,2
661,9
662,3
663,7
664,0
665,9
666,5
667,2
668,3
669,0
670,3
671,7
672,2
673,3
674,5
675,3
676,3
677,0
678,9
679,3
680,4
681,1
682,3
683,7
684,3
685,7
686,7
687,3
688,7
689,3
690,3
691,4
692,3
693,2
694,9
695,3
696,1
697,3
698,5
699,4
700,5
701,9
702,8
703,3
704,7
705,3
706,0
707,3
708,6
709,9
710,8
711,5
712,3
713,9
714,2
715,5
716,0
717,3
718,9
719,4
720,5
721,9
722,6
723,5
724,9
725,6
726,6
727,3
728,2
729,3
730,5
731,0
732,8
733,6
734,9
735,3
736,3
737,9
738,5
739,6
740,2
741,3
742,8
743,7
744,9
745,6
746,7
747,5
748,5
749,8
750,7
751,0
752,4
753,5
754,8
755,3
756,0
757,5
758,7
759,3
760,3
761,2
762,9
763,6
764,4
765,0
766,0
767,3
768,6
769,3
770,2
771,3
772,9
773,3
774,7
775,5
776,6
777,3
778,9
779,3
780,3
781,5
782,9
783,4
784,9
785,0
786,3
787,2
788,9
789,5
790,8
791,6
792,7
793,9
794,6
795,7
796,3
797,8
798,4
799,7
800,1
801,7
802,7
803,6
804,7
805,4
806,7
807,4
808,9
809,6
810,9
811,7
812,6
813,3
814,7
815,9
816,8
817,4
818,9
819,2
820,3
821,4
822,7
823,5
824,7
825,3
826,4
827,5
828,9
829,2
830,4
831,5
832,4
833,5
834,4
835,7
836,4
837,9
838,3
839,4
840,5
841,3
842,1
843,4
844,0
845,4
846,4
847,5
848,7
849,0
850,8
851,4
852,3
853,7
854,4
855,5
856,3
857,8
858,3
859,7
860,4
861,3
862,4
863,3
864,3
865,9
866,5
867,8
868,9
869,2
870,5
871,6
872,7
873,9
874,2
875,4
876,9
877,5
878,7
879,3
880,0
881,6
882,5
883,9
884,4
885,3
886,4
887,6
888,5
889,4
890,9
891,3
892,3
893,4
894,4
895,7
896,0
897,3
898,5
899,9
900,3
901,8
902,4
903,3
904,4
905,3
906,0
907,7
908,3
909,6
910,3
911,4
912,4
913,7
914,4
915,9
916,5
917,4
918,5
919,7
920,7
921,4
922,7
923,4
924,3
925,7
926,6
927,8
928,9
929,3
930,4
931,6
932,7
933,4
934,4
935,0
936,2
937,9
938,5
939,7
940,7
941,3
942,7
943,0
944,7
945,2
946,8
947,5
948,4
949,8
950,7
951,7
952,8
953,5
954,3
955,9
956,0
957,4
958,7
959,2
960,4
961,7
962,7
963,0
964,7
965,5
966,4
967,6
968,4
969,9
970,5
971,7
972,4
973,8
974,2
975,8
976,4
977,5
978,7
979,1
980,6
981,3
982,7
983,3
984,9
985,4
986,5
987,9
988,4
989,3
990,5
991,9
992,3
993,4
994,4
995,9
996,5
997,7
998,3
999,9
1000,5
1001,1
1002,9
1003,5
1004,9
1005,5
1006,7
1007,5
1008,5
1009,5
1010,5
1011,3
1012,5
1013,3
1014,5
1015,6
1016,5
1017,9
1018,3
1019,5
1020,3
1021,5
1022,6
1023,8
1024,5
1025,8
1026,5
1027,0
1028,7
1029,5
1030,5
1031,9
1032,1
1033,5
1034,9
1035,5
1036,9
1037,5
1038,5
1039,2
1040,5
1041,5
1042,2
1043,5
1044,3
1045,0
1046,3
1047,7
1048,5
1049,3
1050,9
1051,4
1052,5
1053,0
1054,5
1055,7
1056,3
1057,5
1058,9
1059,7
1060,1
1061,7
1062,6
1063,5
1064,7
1065,5
1066,5
1067,7
1068,7
1069,3
1070,9
1071,5
1072,9
1073,3
1074,1
1075,5
1076,9
1077,3
1078,5
1079,4
1080,4
1081,5
1082,7
1083,9
1084,9
1085,0
1086,3
1087,4
1088,2
1089,3
1090,7
1091,5
1092,5
1093,1
1094,9
1095,5
1096,3
1097,5
1098,7
1099,6
1100,5
1101,4
1102,5
1103,9
1104,6
1105,9
1106,1
1107,7
1108,2
1109,5
1110,4
1111,3
1112,5
1113,2
1114,5
1115,7
1116,5
1117,7
1118,5
1119,7
1120,5
1121,4
1122,5
1123,0
1124,2
1125,1
1126,3
1127,5
1128,3
1129,9
1130,4
1131,6
1132,2
1133,3
1134,3
1135,5
1136,5
1137,6
1138,5
1139,2
1140,2
1141,5
1142,2
1143,5
1144,0
1145,5
1146,3
1147,7
1148,2
1149,7
1150,7
1151,3
1152,4
1153,5
1154,6
1155,5
1156,5
1157,2
1158,7
1159,2
1160,5
1161,8
1162,8
1163,5
1164,5
1165,9
1166,4
1167,5
1168,7
1169,2
1170,8
1171,5
1172,7
1173,3
1174,6
1175,3
1176,0
1177,5
1178,5
1179,5
1180,5
1181,3
1182,3
1183,9
1184,3
1185,5
1186,0
1187,5
1188,7
1189,5
1190,2
1191,5
1192,5
1193,7
1194,5
1195,7
1196,2
1197,3
1198,0
1199,5
1200,3
1201,2
1202,3
1203,4
1204,3
1205,9
1206,5
1207,9
1208,8
1209,6
1210,9
1211,7
1212,6
1213,9
1214,6
1215,9
1216,1
1217,3
1218,8
1219,3
1220,6
1221,0
1222,3
1223,4
1224,6
1225,7
1226,3
1227,5
1228,6
1229,5
1230,6
1231,3
1232,5
1233,6
1234,6
