Index,Category
0,0
1,0
2,0
3,8
4,9
5,0
6,0
7,8
8,8
9,0
10,0
11,7
12,9
13,0
14,3
15,0
16,0
17,0
18,0
19,9
20,0
21,0
22,0
23,0
24,0
25,0
26,8
27,0
28,1
29,9
30,0
31,8
32,9
33,0
34,8
35,0
36,8
37,0
38,0
39,0
40,0
41,0
42,3
43,0
44,0
45,0
46,0
47,7
48,9
49,0
50,0
51,0
52,0
53,0
54,8
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,2
63,0
64,0
65,0
66,0
67,3
68,0
69,0
70,9
71,8
72,0
73,0
74,0
75,0
76,8
77,0
78,0
79,9
80,0
81,0
82,0
83,0
84,3
85,0
86,4
87,0
88,0
89,0
90,0
91,0
92,7
93,0
94,0
95,0
96,8
97,0
98,5
99,0
100,0
101,0
102,0
103,0
104,0
105,8
106,0
107,0
108,1
109,0
110,0
111,0
112,9
113,2
114,0
115,0
116,1
117,2
118,0
119,0
120,0
121,0
122,0
123,0
124,4
125,3
126,8
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,4
136,8
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,2
149,0
150,0
151,8
152,0
153,2
154,0
155,8
156,9
157,0
158,0
159,0
160,0
161,9
162,3
163,2
164,8
165,8
166,0
167,9
168,0
169,3
170,0
171,0
172,0
173,0
174,8
175,0
176,0
177,8
178,0
179,0
180,0
181,0
182,8
183,1
184,2
185,0
186,8
187,8
188,0
189,3
190,8
191,0
192,0
193,0
194,8
195,9
196,0
197,1
198,0
199,3
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,5
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,5
238,9
239,1
240,1
241,1
242,1
243,1
244,6
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,9
255,1
256,3
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,9
266,1
267,5
268,9
269,1
270,1
271,1
272,1
273,1
274,9
275,1
276,1
277,9
278,3
279,1
280,1
281,1
282,6
283,9
284,1
285,9
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,9
294,1
295,1
296,5
297,9
298,1
299,3
300,0
301,9
302,1
303,1
304,3
305,9
306,1
307,1
308,1
309,8
310,3
311,9
312,1
313,1
314,1
315,7
316,9
317,7
318,0
319,1
320,9
321,1
322,1
323,1
324,1
325,5
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,9
337,1
338,3
339,1
340,1
341,9
342,9
343,1
344,9
345,9
346,1
347,9
348,1
349,1
350,6
351,6
352,1
353,9
354,1
355,9
356,9
357,1
358,8
359,1
360,1
361,1
362,8
363,1
364,1
365,0
366,1
367,9
368,9
369,3
370,1
371,1
372,1
373,9
374,1
375,5
376,1
377,1
378,1
379,9
380,1
381,9
382,7
383,9
384,0
385,1
386,3
387,1
388,8
389,1
390,9
391,9
392,9
393,1
394,1
395,1
396,1
397,9
398,1
399,1
400,2
401,2
402,2
403,2
404,7
405,0
406,4
407,2
408,2
409,2
410,4
411,2
412,2
413,4
414,2
415,2
416,2
417,3
418,0
419,0
420,3
421,0
422,2
423,6
424,2
425,2
426,3
427,2
428,5
429,2
430,6
431,2
432,2
433,6
434,2
435,6
436,2
437,2
438,3
439,2
440,2
441,6
442,2
443,2
444,2
445,2
446,6
447,2
448,8
449,2
450,2
451,2
452,2
453,0
454,2
455,2
456,4
457,2
458,2
459,4
460,2
461,2
462,5
463,2
464,2
465,2
466,2
467,5
468,2
469,6
470,2
471,5
472,3
473,2
474,2
475,2
476,2
477,4
478,2
479,4
480,2
481,2
482,9
483,2
484,2
485,2
486,2
487,4
488,2
489,7
490,4
491,2
492,5
493,4
494,2
495,2
496,2
497,2
498,2
499,2
500,6
501,3
502,2
503,6
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,3
512,2
513,6
514,2
515,6
516,6
517,2
518,2
519,4
520,2
521,2
522,2
523,2
524,1
525,2
526,3
527,7
528,6
529,2
530,2
531,2
