Index,Category
0,3
1,2
2,9
3,1
4,2
5,3
6,0
7,9
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,9
19,9
20,9
21,7
22,3
23,3
24,3
25,9
26,9
27,0
28,3
29,9
30,0
31,9
32,2
33,0
34,0
35,0
36,5
37,3
38,3
39,9
40,3
41,3
42,3
43,9
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,9
53,3
54,3
55,9
56,3
57,9
58,0
59,3
60,5
61,3
62,3
63,3
64,9
65,9
66,3
67,2
68,3
69,9
70,9
71,5
72,3
73,2
74,3
75,3
76,3
77,9
78,9
79,3
80,5
81,9
82,3
83,3
84,9
85,3
86,4
87,3
88,9
89,3
90,9
91,3
92,3
93,3
94,3
95,3
96,3
97,4
98,2
99,0
100,0
101,3
102,3
103,9
104,2
105,3
106,5
107,3
108,3
109,0
110,3
111,3
112,3
113,3
114,9
115,0
116,5
117,3
118,5
119,3
120,3
121,5
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,7
131,3
132,5
133,3
134,3
135,3
136,2
137,3
138,3
139,3
140,9
141,3
142,3
143,9
144,5
145,7
146,3
147,3
148,2
149,3
150,9
151,3
152,9
153,9
154,9
155,0
156,4
157,7
158,2
159,3
160,3
161,9
162,9
163,9
164,3
165,5
166,1
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,1
177,3
178,3
179,4
180,3
181,3
182,3
183,9
184,2
185,3
186,3
187,3
188,0
189,9
190,3
191,3
192,9
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,1
201,1
202,9
203,3
204,1
205,3
206,3
207,3
208,1
209,1
210,1
211,3
212,9
213,1
214,9
215,1
216,1
217,3
218,9
219,9
220,3
221,9
222,1
223,9
224,1
225,3
226,3
227,1
228,9
229,3
230,3
231,3
232,9
233,3
234,9
235,5
236,3
237,3
238,9
239,9
240,3
241,9
242,1
243,9
244,3
245,9
246,1
247,1
248,1
249,9
250,1
251,9
252,9
253,9
254,9
255,9
256,3
257,1
258,3
259,1
260,1
261,9
262,3
263,9
264,9
265,9
266,9
267,9
268,9
269,3
270,9
271,3
272,9
273,3
274,9
275,9
276,1
277,9
278,3
279,9
280,3
281,9
282,3
283,3
284,1
285,5
286,3
287,3
288,1
289,1
290,3
291,9
292,3
293,5
294,1
295,9
296,3
297,3
298,1
299,3
300,4
301,3
302,1
303,3
304,3
305,9
306,3
307,3
308,3
309,9
310,3
311,3
312,1
313,3
314,9
315,9
316,9
317,9
318,5
319,3
320,3
321,4
322,9
323,1
324,3
325,1
326,9
327,1
328,3
329,1
330,3
331,3
332,9
333,1
334,3
335,9
336,5
337,3
338,3
339,1
340,1
341,9
342,3
343,9
344,3
345,3
346,1
347,1
348,1
349,3
350,3
351,9
352,5
353,3
354,9
355,3
356,3
357,9
358,3
359,1
360,1
361,3
362,9
363,9
364,3
365,3
366,9
367,9
368,4
369,9
370,3
371,3
372,1
373,3
374,1
375,3
376,3
377,9
378,3
379,9
380,3
381,3
382,3
383,1
384,3
385,1
386,3
387,3
388,5
389,1
390,9
391,9
392,3
393,9
394,3
395,1
396,9
397,3
398,4
399,9
400,3
401,4
402,3
403,3
404,3
405,3
406,3
407,3
408,9
409,2
410,3
411,3
412,3
413,3
414,2
415,3
416,2
417,3
418,3
419,5
420,2
421,3
422,5
423,3
424,3
425,3
426,3
427,3
428,3
429,5
430,3
431,5
432,3
433,3
434,3
435,3
436,2
437,3
438,3
439,5
440,3
441,3
442,5
443,3
444,2
445,3
446,2
447,3
448,3
449,3
450,5
451,5
452,5
453,3
454,5
455,2
456,2
457,2
458,9
459,3
460,5
461,3
462,3
463,3
464,2
465,3
466,3
467,3
468,3
469,3
470,2
471,3
472,3
473,3
474,3
475,2
476,2
477,3
478,3
479,3
480,2
481,4
482,9
483,3
484,5
485,3
486,5
487,3
488,3
489,3
490,3
491,3
492,5
493,3
494,3
495,5
496,9
497,2
498,3
499,5
500,3
501,3
