Index,Category
0,9
1,2
2,0
3,8
4,9
5,2
6,7
7,6
8,9
9,2
10,9
11,5
12,9
13,2
14,4
15,0
16,0
17,4
18,8
19,2
20,9
21,7
22,0
23,3
24,0
25,4
26,0
27,6
28,3
29,9
30,2
31,9
32,9
33,2
34,6
35,0
36,2
37,3
38,0
39,9
40,9
41,2
42,6
43,2
44,7
45,2
46,4
47,9
48,0
49,4
50,0
51,3
52,6
53,7
54,3
55,9
56,2
57,4
58,0
59,6
60,8
61,6
62,8
63,7
64,8
65,5
66,0
67,9
68,2
69,7
70,4
71,5
72,5
73,9
74,4
75,1
76,8
77,0
78,2
79,5
80,4
81,8
82,6
83,0
84,9
85,3
86,5
87,6
88,6
89,0
90,9
91,0
92,5
93,0
94,0
95,3
96,6
97,3
98,3
99,0
100,9
101,0
102,6
103,0
104,2
105,0
106,0
107,6
108,5
109,6
110,0
111,9
112,7
113,2
114,9
115,0
116,1
117,2
118,6
119,4
120,0
121,9
122,4
123,1
124,9
125,2
126,6
127,7
128,0
129,5
130,0
131,8
132,8
133,6
134,0
135,5
136,5
137,0
138,4
139,8
140,0
141,6
142,4
143,0
144,5
145,3
146,0
147,5
148,4
149,0
150,9
151,4
152,9
153,2
154,6
155,5
156,6
157,0
158,0
159,4
160,5
161,0
162,7
163,2
164,4
165,0
166,2
167,9
168,7
169,4
170,0
171,2
172,0
173,8
174,8
175,2
176,3
177,4
178,1
179,6
180,8
181,2
182,7
183,0
184,6
185,0
186,8
187,2
188,9
189,2
190,5
191,6
192,0
193,5
194,4
195,7
196,9
197,3
198,0
199,6
200,4
201,1
202,1
203,8
204,1
205,5
206,5
207,9
208,8
209,3
210,1
211,2
212,7
213,1
214,0
215,3
216,5
217,9
218,3
219,1
220,1
221,0
222,3
223,1
224,4
225,0
226,7
227,1
228,1
229,5
230,9
231,3
232,7
233,6
234,3
235,1
236,7
237,3
238,8
239,1
240,2
241,9
242,1
243,3
244,6
245,0
246,9
247,6
248,1
249,9
250,3
251,9
252,5
253,1
254,6
255,1
256,4
257,1
258,4
259,1
260,4
261,1
262,1
263,5
264,1
265,6
266,2
267,9
268,8
269,5
270,9
271,3
272,9
273,3
274,8
275,6
276,2
277,9
278,5
279,1
280,1
281,9
282,6
283,9
284,2
285,5
286,9
287,3
288,1
289,4
290,6
291,7
292,8
293,9
294,6
295,1
296,3
297,9
298,1
299,5
300,0
301,3
302,1
303,2
304,4
305,9
306,1
307,6
308,4
309,9
310,5
311,6
312,6
313,7
314,8
315,9
316,7
317,1
318,6
319,1
320,9
321,3
322,9
323,3
324,1
325,5
326,1
327,2
328,3
329,8
330,3
331,4
332,1
333,5
334,8
335,1
336,9
337,8
338,3
339,1
340,6
341,9
342,6
343,1
344,2
345,1
346,7
347,1
348,1
349,4
350,0
351,6
352,5
353,0
354,0
355,7
356,4
357,1
358,8
359,9
360,1
361,4
362,1
363,6
364,1
365,0
366,5
367,9
368,1
369,2
370,1
371,7
372,4
373,9
374,1
375,5
376,4
377,9
378,1
379,6
380,1
381,9
382,3
383,9
384,0
385,1
386,9
387,0
388,8
389,1
390,9
391,3
392,7
393,8
394,0
395,6
396,1
397,9
398,3
399,9
400,2
401,1
402,2
403,8
