Index,Category
0,1
1,0
2,9
3,2
4,9
5,2
6,1
7,3
8,8
9,0
10,9
11,2
12,9
13,2
14,1
15,0
16,0
17,4
18,0
19,9
20,9
21,1
22,0
23,9
24,0
25,8
26,8
27,0
28,4
29,9
30,0
31,9
32,9
33,0
34,9
35,0
36,8
37,9
38,0
39,4
40,0
41,3
42,7
43,0
44,8
45,0
46,0
47,7
48,0
49,3
50,0
51,7
52,4
53,0
54,2
55,9
56,0
57,2
58,0
59,2
60,9
61,0
62,2
63,0
64,0
65,3
66,4
67,1
68,8
69,0
70,1
71,0
72,0
73,9
74,3
75,8
76,8
77,0
78,2
79,9
80,7
81,8
82,1
83,0
84,9
85,7
86,2
87,6
88,1
89,0
90,0
91,0
92,5
93,8
94,0
95,2
96,0
97,9
98,9
99,0
100,8
101,0
102,5
103,1
104,9
105,8
106,0
107,6
108,3
109,0
110,0
111,9
112,9
113,2
114,9
115,0
116,1
117,0
118,9
119,2
120,0
121,4
122,4
123,0
124,4
125,6
126,9
127,5
128,4
129,9
130,0
131,8
132,8
133,1
134,5
135,4
136,5
137,0
138,0
139,2
140,0
141,6
142,7
143,0
144,6
145,8
146,0
147,2
148,4
149,0
150,9
151,8
152,0
153,2
154,0
155,2
156,7
157,8
158,0
159,4
160,2
161,7
162,0
163,2
164,4
165,1
166,0
167,9
168,0
169,7
170,0
171,9
172,2
173,9
174,8
175,4
176,9
177,8
178,1
179,0
180,2
181,4
182,4
183,1
184,2
185,0
186,2
187,3
188,4
189,2
190,2
191,0
192,0
193,2
194,5
195,9
196,0
197,2
198,0
199,2
200,0
201,1
202,1
203,0
204,1
205,2
206,1
207,0
208,9
209,1
210,0
211,6
212,9
213,1
214,9
215,1
216,1
217,1
218,1
219,0
220,1
221,0
222,1
223,1
224,9
225,1
226,2
227,1
228,1
229,5
230,1
231,8
232,1
233,9
234,1
235,9
236,4
237,1
238,9
239,1
240,9
241,1
242,1
243,9
244,6
245,1
246,1
247,1
248,1
249,4
250,1
251,9
252,1
253,9
254,9
255,1
256,4
257,1
258,1
259,0
260,1
261,1
262,9
263,1
264,1
265,9
266,8
267,9
268,9
269,1
270,1
271,3
272,8
273,1
274,0
275,1
276,1
277,9
278,0
279,1
280,0
281,1
282,9
283,0
284,1
285,5
286,1
287,2
288,1
289,4
290,8
291,1
292,6
293,7
294,9
295,1
296,5
297,9
298,1
299,5
300,0
301,9
302,1
303,8
304,4
305,9
306,1
307,1
308,9
309,8
310,8
311,1
312,0
313,1
314,3
315,1
316,3
317,1
318,2
319,1
320,9
321,1
322,9
323,1
324,1
325,4
326,9
327,2
328,9
329,1
330,0
331,4
332,1
333,5
334,1
335,9
336,9
337,8
338,5
339,1
340,1
341,9
342,9
343,0
344,1
345,9
346,1
347,3
348,8
349,1
350,8
351,9
352,9
353,0
354,1
355,4
356,3
357,1
358,2
359,1
360,1
361,1
362,0
363,9
364,1
365,0
366,1
367,9
368,9
369,3
370,9
371,1
372,1
373,9
374,1
375,6
376,6
377,1
378,1
379,0
380,1
381,9
382,3
383,7
384,0
385,1
386,9
387,5
388,8
389,1
390,1
391,9
392,9
393,8
394,0
395,1
396,1
397,9
398,8
399,1
400,2
401,4
402,4
403,3
404,4
405,2
406,4
407,0
408,6
409,2
410,9
411,3
412,3
413,2
414,0
415,4
416,2
417,3
418,2
419,7
420,4
421,2
422,2
423,9
424,0
425,3
426,5
427,2
428,4
429,2
430,4
431,0
432,4
433,6
434,2
435,0
436,5
437,2
438,3
439,2
440,2
441,4
442,2
443,7
444,2
445,4
446,2
447,3
448,4
449,2
450,5
451,7
452,2
453,4
454,3
455,2
456,7
457,2
458,2
459,0
460,2
461,0
462,5
463,2
464,2
465,7
466,2
467,4
468,0
469,2
470,2
471,5
472,7
473,0
474,3
475,9
476,4
477,2
478,2
479,3
480,4
481,2
482,9
483,2
484,1
485,2
486,5
487,4
488,2
489,0
490,5
491,2
492,5
493,4
494,4
495,2
496,3
497,2
498,2
499,0
500,9
501,2
502,2
503,9
504,4
505,1
506,2
507,4
508,3
509,2
510,2
511,3
512,2
513,1
514,2
515,0
516,7
517,2
518,2
519,0
520,0
521,2
522,9
523,3
524,1
525,2
526,2
527,7
528,3
529,2
530,2
531,0
532,7
533,3
534,4
535,2
536,5
537,2
538,3
539,2
540,2
541,5
542,9
543,7
544,2
545,4
546,6
547,2
548,2
549,7
550,3
551,2
552,6
553,2
554,3
555,9
556,6
557,7
558,2
559,3
560,0
561,2
562,5
563,3
564,2
565,7
566,0
567,5
568,2
569,4
570,2
571,7
572,2
573,7
574,2
575,0
576,3
577,2
578,3
579,7
580,2
581,0
582,4
583,3
584,5
585,2
586,5
587,1
588,2
589,3
590,5
591,2
592,5
593,2
594,6
595,7
596,5
597,2
598,9
599,4
600,5
601,4
602,5
603,9
604,3
605,4
606,3
607,4
608,3
609,2
610,4
611,2
612,5
613,3
614,5
615,3
616,3
617,0
618,6
619,4
620,2
621,5
622,6
623,3
624,3
625,0
626,2
627,9
628,2
629,7
630,4
631,2
632,5
633,3
634,6
635,7
636,5
637,1
638,4
639,2
640,3
641,7
642,3
643,5
644,2
645,9
646,2
647,9
648,0
649,3
650,3
651,4
652,3
653,1
654,6
655,8
656,2
657,3
658,5
659,6
660,6
661,5
662,9
663,7
664,1
665,3
666,7
667,0
668,4
669,2
670,3
671,2
672,4
673,0
674,6
675,3
676,3
677,6
678,5
679,0
680,4
681,9
682,6
683,4
684,6
685,3
686,4
687,8
688,2
689,3
690,3
691,4
692,3
693,8
694,0
695,3
696,5
697,3
698,6
699,2
700,0
701,7
702,8
703,4
704,4
705,8
706,7
707,3
708,6
709,0
710,4
711,5
712,2
713,9
714,3
715,7
716,8
717,5
718,9
719,3
720,2
721,3
722,4
723,2
724,8
725,3
726,2
727,9
728,0
729,8
730,3
731,2
732,0
733,3
734,3
735,3
736,3
737,3
738,5
739,6
740,3
741,3
742,0
743,7
744,9
745,3
746,4
747,5
748,4
749,3
750,7
751,3
752,6
753,7
754,8
755,5
756,3
757,5
758,5
759,6
760,0
761,4
762,3
763,8
764,4
765,0
766,5
767,2
768,4
769,3
770,6
771,7
772,2
773,3
774,2
775,9
776,7
777,0
778,2
779,3
780,9
781,6
782,9
783,4
784,3
785,2
786,9
787,2
788,3
789,6
790,0
791,4
792,7
793,3
794,2
795,7
796,2
797,7
798,6
799,5
800,9
801,4
802,4
803,3
804,7
805,4
806,2
807,5
808,8
809,4
810,3
811,4
812,3
813,4
814,4
815,0
816,3
817,4
818,2
819,5
820,3
821,4
822,4
823,2
824,0
825,4
826,7
827,6
828,2
829,3
830,2
831,4
832,4
833,0
834,4
835,2
836,2
837,7
838,3
839,4
840,4
841,0
842,7
843,4
844,0
845,4
846,4
847,3
848,4
849,0
850,7
851,2
852,2
853,7
854,2
855,6
856,3
857,6
858,4
859,2
860,4
861,9
862,4
863,0
864,7
865,4
866,6
867,5
868,7
869,2
870,0
871,4
872,5
873,2
874,5
875,9
876,4
877,3
878,2
879,3
880,4
881,7
882,4
883,7
884,4
885,0
886,4
887,4
888,0
889,7
890,0
891,4
892,4
893,0
894,1
895,2
896,0
897,4
898,5
899,4
900,3
901,0
902,4
903,2
904,4
905,2
906,0
907,4
908,3
909,4
910,3
911,4
912,2
913,4
914,4
915,7
916,7
917,2
918,4
919,2
920,4
921,2
922,0
923,4
924,5
925,2
926,2
927,4
928,4
929,6
930,7
931,2
932,3
933,4
934,4
935,0
936,2
937,4
938,1
939,4
940,2
941,5
942,7
943,4
944,7
945,4
946,2
947,7
948,4
949,9
950,5
951,0
952,8
953,5
954,0
955,4
956,4
957,3
958,4
959,5
960,0
961,7
962,9
963,2
964,6
965,7
966,4
967,3
968,2
969,1
970,7
971,1
972,7
973,9
974,6
975,0
976,4
977,3
978,4
979,9
980,0
981,4
982,4
983,9
984,7
985,4
986,4
987,7
988,2
989,7
990,4
991,0
992,4
993,6
994,5
995,9
996,0
997,4
998,7
999,4
1000,3
1001,0
1002,9
1003,5
1004,6
1005,5
1006,2
1007,5
1008,5
1009,3
1010,5
1011,4
1012,5
1013,3
1014,5
1015,4
1016,6
1017,9
1018,4
1019,5
1020,6
1021,5
1022,5
1023,0
1024,6
1025,5
1026,5
1027,4
1028,2
1029,5
1030,5
1031,3
1032,6
1033,5
1034,7
1035,3
1036,2
1037,5
1038,5
1039,2
1040,2
1041,3
1042,2
1043,7
1044,3
1045,2
1046,4
1047,3
1048,6
1049,5
1050,6
1051,5
1052,1
1053,4
1054,4
1055,9
1056,0
1057,5
1058,5
1059,7
1060,8
1061,5
1062,7
1063,4
1064,4
1065,5
1066,5
1067,0
1068,8
1069,3
1070,5
1071,7
1072,4
1073,3
1074,9
1075,3
1076,4
1077,6
1078,5
1079,4
1080,4
1081,9
1082,5
1083,9
1084,3
1085,0
1086,3
1087,1
1088,7
1089,3
1090,7
1091,5
1092,9
1093,5
1094,9
1095,5
1096,8
1097,5
1098,3
1099,2
1100,5
1101,3
1102,2
1103,5
1104,6
1105,5
1106,0
1107,5
1108,9
1109,3
1110,4
1111,5
1112,5
1113,7
1114,5
1115,3
1116,5
1117,6
1118,5
1119,3
1120,5
1121,4
1122,5
1123,7
1124,2
1125,4
1126,6
1127,5
1128,3
1129,5
1130,5
1131,2
1132,5
1133,3
1134,3
1135,5
1136,5
1137,5
1138,5
1139,2
1140,4
1141,5
1142,2
1143,5
1144,0
1145,5
1146,3
1147,7
1148,2
1149,5
1150,7
1151,3
1152,5
1153,3
1154,5
1155,3
1156,7
1157,2
1158,5
1159,0
1160,5
1161,2
1162,4
1163,5
1164,6
1165,0
1166,7
1167,2
1168,0
1169,7
1170,0
1171,2
1172,7
1173,3
1174,5
1175,2
1176,1
1177,5
1178,5
1179,2
1180,0
1181,5
1182,5
1183,7
1184,6
1185,7
1186,1
1187,5
1188,0
1189,5
1190,3
1191,2
1192,5
1193,3
1194,5
1195,7
1196,4
1197,1
1198,4
1199,5
1200,9
1201,2
1202,6
1203,4
1204,5
1205,6
1206,3
1207,6
1208,0
1209,4
1210,7
1211,6
1212,6
1213,5
1214,6
1215,9
1216,8
1217,3
1218,1
1219,3
1220,6
1221,0
1222,6
1223,4
1224,6
1225,7
1226,3
1227,2
1228,8
1229,3
